773,CACNA1A,calcium,voltage-gated,channel,subunit,alpha1,A,K04344,,,,
1846,DUSP4,dual,specificity,phosphatase,4,K04459,[EC:3.1.3.48,3.1.3.16,,,,
1844,DUSP2,dual,specificity,phosphatase,2,K04459,[EC:3.1.3.48,3.1.3.16,,,,
1849,DUSP7,dual,specificity,phosphatase,7,K04459,[EC:3.1.3.48,3.1.3.16,,,,
1850,DUSP8,dual,specificity,phosphatase,8,K04459,[EC:3.1.3.48,3.1.3.16,,,,
1847,DUSP5,dual,specificity,phosphatase,5,K04459,[EC:3.1.3.48,3.1.3.16,,,,
80824,DUSP16,dual,specificity,phosphatase,16,K04459,[EC:3.1.3.48,3.1.3.16,,,,
5530,PPP3CA,protein,phosphatase,3,catalytic,subunit,alpha,K04348,[EC:3.1.3.16,,,
5532,PPP3CB,protein,phosphatase,3,catalytic,subunit,beta,K04348,[EC:3.1.3.16,,,
5533,PPP3CC,protein,phosphatase,3,catalytic,subunit,gamma,K04348,[EC:3.1.3.16,,,
5534,PPP3R1,protein,phosphatase,3,regulatory,subunit,"B,",alpha,K06268,,,
5535,PPP3R2,protein,phosphatase,3,regulatory,subunit,"B,",beta,K06268,,,
774,CACNA1B,calcium,voltage-gated,channel,subunit,alpha1,B,K04849,,,,
775,CACNA1C,calcium,voltage-gated,channel,subunit,alpha1,C,K04850,,,,
776,CACNA1D,calcium,voltage-gated,channel,subunit,alpha1,D,K04851,,,,
777,CACNA1E,calcium,voltage-gated,channel,subunit,alpha1,E,K04852,,,,
778,CACNA1F,calcium,voltage-gated,channel,subunit,alpha1,F,K04853,,,,
8913,CACNA1G,calcium,voltage-gated,channel,subunit,alpha1,G,K04854,,,,
8912,CACNA1H,calcium,voltage-gated,channel,subunit,alpha1,H,K04855,,,,
8911,CACNA1I,calcium,voltage-gated,channel,subunit,alpha1,I,K04856,,,,
779,CACNA1S,calcium,voltage-gated,channel,subunit,alpha1,S,K04857,,,,
781,CACNA2D1,calcium,voltage-gated,channel,auxiliary,subunit,alpha2delta,1,K04858,,,
9254,CACNA2D2,calcium,voltage-gated,channel,auxiliary,subunit,alpha2delta,2,K04859,,,
55799,CACNA2D3,calcium,voltage-gated,channel,auxiliary,subunit,alpha2delta,3,K04860,,,
